rank,title,author,category,monthly_tickets,ip_score,ip_grade
104,灵纹之主,青山烟雨,玄幻奇幻,232,64.21394108648772,C
105,大隐,剑非心,武侠仙侠,220,64.16808988974867,C
106,火红年代：知青小医生，青梅陪我下乡,磐石开花,都市,198,63.95891998516223,C
107,财戒,嚣张农民,都市,178,63.872575296127046,C
108,仙棺，神墟，剑无敌！,千年老龟,玄幻奇幻,163,63.782408963663634,C
109,仙都,陈猿,玄幻奇幻,117,63.717987070784154,C
110,葬仙棺,执笔人,玄幻奇幻,165,63.69259804443728,C
111,掌门怀孕，关我一个杂役什么事,雨夜终曲,玄幻奇幻,185,63.65639015009332,C
112,大荒剑帝,食堂包子,玄幻奇幻,128,63.54934506656289,C
113,天问九歌,刘阿八,武侠仙侠,188,63.40599691727014,C
114,末日崛起,太极阴阳鱼,科幻,108,63.39517961113947,C
115,过河卒,莫问江湖,武侠仙侠,206,63.34803497009978,C
116,重生1958：发家致富从南锣鼓巷开始,小鱼吃辣椒,都市,153,63.28453025870441,C
117,九阳武神,我吃面包,玄幻奇幻,144,63.261573160369785,C
118,打到北极圈了，你让我继承皇位？,橡皮泥,历史,148,63.10896917918348,C
119,新官路商途,更俗,都市,179,63.10647671029957,C
120,傲世潜龙,西装暴徒,都市,131,63.084845629617334,C
121,混沌塔,惊蛰落月,玄幻奇幻,146,63.014659225250774,C
122,江湖男儿：困龙出山,阳子下,都市,150,62.90634582430261,C
123,逆天邪神终局之战,地星引力,玄幻奇幻,136,62.84850098149397,C
124,弑神仙尊,浪迹天涯觅卿归,玄幻奇幻,158,62.746520044099405,C
125,逆天邪神：师尊，你不太对劲,叁石平金泽,玄幻奇幻,176,62.67021557694634,C
126,重生急诊医生：从挽救市长千金开始,纸扇不用扇,都市,138,62.493141453110354,C
127,大唐山海行,圏吉,武侠仙侠,214,62.477839915193876,C
128,好戏登场,鸟川鸣,都市,189,62.42852906234202,C
129,都市狂龙医仙,雁门关外,都市,128,62.355379085201086,C
130,我医武双绝，踏出女子监狱起无敌！,清风万里,都市,137,62.311825814503244,C
131,被贬边疆，成就最强藩王,绯雨,历史,140,62.273695334801936,C
132,天下长宁,知白,历史,147,62.25594944711751,C
133,1977，开局女知青以身相许,家有十猫,都市,257,62.253153162878284,C
134,离婚后，我权势滔天，你哭什么,水门绅士,都市,146,62.20958428604538,C
135,自在真仙,临剑,武侠仙侠,142,62.19812588614966,C
136,高武校长，我的实力是全校总和！,邯郸财阀,都市,138,62.10127038966679,C
137,仙人之上,金钱儿,武侠仙侠,360,61.98571778029951,C
138,开局丹田被废，我靠炼丹杀疯了,码字养猫,玄幻奇幻,136,61.96309384876286,C
139,鎏金岁月：带娃渔猎长白山,花城烈焰,都市,131,61.92602261056414,C
140,凡尘飞仙,齐甲,武侠仙侠,129,61.7441439660503,C
141,九星镇天诀,一叶青天,玄幻奇幻,182,61.72980698716398,C
142,万剑朝宗,六道沉沦,玄幻奇幻,125,61.58799095155103,C
143,司马牧羊,陈猿,都市,148,61.50102467181934,C
144,师叔，你的法宝太不正经了,李别浪,玄幻奇幻,118,61.49877795142285,C
145,盘龙神剑,列夕,玄幻奇幻,121,61.48629818596073,C
146,道上青天,六道蚂蚱,玄幻奇幻,120,61.449227000776744,C
147,妙手大仙医,金佛,都市,99,61.390417303452345,C
148,六道轮回塔,不想早起,玄幻奇幻,141,61.34639619554819,C
149,囚仙塔,醉卧九重云,玄幻奇幻,143,61.32108007930844,C
150,极品女神赖上我,陈行者,都市,127,61.16032896640398,C
151,我跑长途遇到的那些邪乎事,南路河畔的纯爱,奇闻异事,205,60.972551561836596,C
152,看守废丹房三年，我偷偷成仙了,杯中清风,玄幻奇幻,116,60.96807357422807,C
153,白夜浮生录,夜厌白,N次元,86,60.887591596408235,C
154,模拟修仙传,乱世TICH,玄幻奇幻,52,60.87032257824843,C
155,吃蘑菇后，我成了绝世古仙医,李闲鱼,都市,118,60.861064368268885,C
156,宦海重生：从市政府实习开始,倚楼听涛,都市,226,60.85412343702696,C
157,侯门第一纨绔,开门迎客,历史,115,60.81467239704613,C
158,我的傲娇总裁老婆,抽烟的于大爷,都市,220,60.722444804289665,C
159,边军战神,布偶,历史,122,60.68980756472837,C
160,人在末世，我能联通现实,精英hr,科幻,102,60.67041704582691,C
161,我省府大秘，问鼎京圈,林新儿,都市,116,60.57031795306696,C
162,云烟神帝,风少依,玄幻奇幻,114,60.555490354497316,C
163,都市：炼气九千层，归来已无敌,步千帆,都市,226,60.53989566946512,C
164,空姐背后,雪豹,都市,80,60.46831895096104,C
165,剑来：宁姚做大，秀做小,隋家书香院,N次元,119,60.45949591921572,C
166,圣王,梦入神机,玄幻奇幻,93,60.446877916438254,C
167,对弈江山,染夕遥,历史,45,60.42775200656974,C
168,我有一剑,青鸾峰上,玄幻奇幻,107,60.40659723826306,C
169,吞天混沌经：开局先吞圣女修为,一阵乱写,玄幻奇幻,104,60.32505398156049,C
170,喀什的云朵,乱世TICH,现实题材,120,60.043939169502764,C
171,男人野性,月下冰河,都市,97,59.994303649286614,D
172,霜雪照曦言之九州化龙诀,离人听雪,武侠仙侠,119,59.92014923933493,D
173,探宝修真在都市,准时不早退的阿洁,都市,70,59.855733424600885,D
174,天下神藏,狐狸的茶,都市,68,59.72911127711501,D
175,剑道长生路,人间无爱渡红尘,武侠仙侠,54,59.658745486435734,D
176,一世如龙,关中老人,都市,82,59.59831013752366,D
177,炼天剑帝,醉梦红辰,玄幻奇幻,65,59.240176993872446,D
178,从纪委科员问鼎权力巅峰,青菜炒番茄,都市,57,59.09589533852643,D
179,最强都市修真,俗师,都市,41,59.064753002800835,D
180,高武：开局俘获校花，我靠装杯杀疯了,步履无声,都市,63,59.04979196236157,D
181,重生2000：从追求青涩校花同桌开始,痞子老妖,都市,111,59.02869152131829,D
182,医路青云,烟斗老哥,都市,76,58.87579133929018,D
183,全民末日：开局获得神级天赋,休闲的道士,科幻,157,58.77764461607542,D
184,太古龙神,月如火,玄幻奇幻,40,58.649190351900785,D
185,卦破九霄：我在修仙界改命逆天,被水煮的青蛙,武侠仙侠,69,58.63105997068195,D
186,表白前任被拒绝，系统安慰我一万亿,风伦苍,都市,73,58.482425957264894,D
187,出狱即无敌，前妻跪求我原谅,南极猫,都市,150,58.318555182884495,D
188,凡徒,曳光,武侠仙侠,60,58.11852003035597,D
189,十天一天赋，成为吸血鬼的我太BUG了,道三生,科幻,104,58.08197429190752,D
