status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,借剑,10,2025,1070800,356500,27822,5887,19,幼儿园一把手,650967,qidian,1045165156,幻想修仙,0,“就在刚才，我的剑被一声【万剑归宗】给叫走了，怎么办？” “在线等，挺急的，也不知道还不还……”,76.70964387561216
0,赤心巡天,10,2025,10417600,7430300,24958,19200,79,情何以甚,3869434,qidian,1016530091,古典仙侠,0,（《赤心巡天》实体书已在全网发售。） 上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦…… 这个世界发生了什么？ 那埋葬于时间长河里的历史真相，谁来聆听？ 山河千里写伏尸，乾坤百年描饿虎。 天地至公如无情， 我有赤心一颗、以巡天！ —————— 欢迎来到，情何以甚的仙侠世界。,84.2436342454723
0,异度旅社,10,2025,1920600,3439100,28768,29200,99,远瞳,907112,qidian,1041604040,时空穿梭,0,在日常之下，在理性尽头，在你所熟悉的世界之外——是你从未想象过的风景。 当于生第一次打开那扇门的时候，他所熟悉的世界便轰然倒塌。 而那直抵世界根源的“真相”，扑面而来。,80.09874337314982
0,神的模仿犯,10,2025,985699,296600,18438,4974,15,青衫取醉,424444,qidian,1045354296,游戏异界,0,十二名身份各异的男女被邀请进入新世界。 在这里，他们不仅要通过议案投票来决定自己的生活方式，还要不断参与生死游戏来延长自己的签证时间。 而这些生死游戏的设计者，其实就在他们中间。,73.8062000301149
0,我的化身正在成为最终BOSS,10,2025,1792100,370400,3460,898,15,汐尺,600156,qidian,1042464636,原生幻想,0,平平无奇地生活了十多年后，某天夜里，姬明欢忽然觉醒了一个能够“在现实世界创建游戏角色”的异能，并且每一个角色都有自己的主线任务、独特的技能树系统。 自那之后他一发不可收拾，在现实世界不断创建新的角色、开发技能树、培养角色系统……只要提升角色的知名度就能加强角色的能力，于是他开始大肆捣乱，为了吸引眼球而无所不用其极，像是一根搅屎棍似的在一众超级英雄和超级反派里反复周旋。 等回过神时，姬明欢坐在月球上盯着满目苍痍的蓝星，不禁低声感慨道： “我一开始真没想毁灭世界。”,68.59283160893472
0,山河稷,10,2025,1974700,845100,57953,9574,389,姬叉,661221,qidian,1043748975,幻想修仙,0,且夫天地为炉兮，造化为工；阴阳为炭兮，万物为铜。 ——终有一天，要让这祭炼世界的炉火，换成属于我的火焰。 ——稷，祀也，社而稷之。,80.45076386073154
0,青山,10,2025,1749500,2193400,15838,9167,45,会说话的肘子,1323811,qidian,1033014772,东方玄幻,0,少时光阴长，泼酒翻红巷。权为砖墙利为瓦，宾朋倚满帐。 醒来恨日短，大梦二十转。忽觉同行常八九，真心无二三。 噫吁兮，听雪孤舟上，坐看天地远。,78.36498547629984
0,都重生了谁考公务员啊,10,2025,2386500,1981100,19834,19900,430,柳岸花又明,1343990,qidian,1038504669,都市生活,0,省直公务员陈着意外重生自己高三的那一年。 于是，一个木讷腼腆、和女生说话都会脸红、只知道学习的高中生； 突然变得通晓人情世故，说话做事总是恰到好处，不仅改变了人生轨迹，也越来越吸引女孩子的关注。 女生：陈着你有什么优点？ 陈着：人老实，话不多。 发小：我觉得骗人是不对的，你现在一点都不老实。 陈着：没骗！人老，实话不多。 （首先声明，绝对不是作者真实经历）,79.15576506632738
0,诡秘之主,10,2025,4465000,35982100,24205,25099,346,爱潜水的乌贼,17532599,qidian,1010868264,异世大陆,0,诡秘之主动画已经在腾讯视频上播出，欢迎大家前去观看！ 蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界： 枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,89.81987864703986
0,冬日重现,10,2025,1220400,230300,31928,9514,92,雪梨炖茶,0,qidian,1044572097,恋爱日常,0,张述桐曾有两个女同学： 一个是有钱人家的骄傲大小姐； 一个是在山里当庙祝的清冷少女。 她们一个被杀死在八年前，一个死在了八年后。 张述桐还有一个不可告人的秘密： 他能回到过去。 ... 可好不容易救回了她们，她们怎么自己打起来了？ ... 深山、大湖、神庙、水下的阴影、八年前的连环凶杀案，还有女孩逐渐冰冷的身体； 这是一个发生在冬天的小岛上，一群少男少女之间，有些温馨、有些惊悚、有些浪漫的青春故事。 ... （恋爱+时空穿梭+校园+悬疑）,40.980182097124
