title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
白夜浮生录,夜厌白,N次元,,连载,Zongheng,5809661,166683,87398,62,51,315
浑天记,十二子南申,武侠仙侠,,完结,Zongheng,3885608,3911630,203608,115,421,0
无敌混沌钟,夜猫袈腊,玄幻奇幻,,完结,Zongheng,1034881,102191,6547,2615,90,0
都市古仙医,超爽黑啤,都市,,连载,Zongheng,10815609,34712640,18069,62,1658,0
悍卒斩天,三青色,玄幻奇幻,,完结,Zongheng,7601265,4890705,21420,941,141,0
佛天大智贤僧录,绮风殇,玄幻奇幻,,完结,Zongheng,918344,9192,427,396,17,0
龙武星魂,不老鱼,玄幻奇幻,,完结,Zongheng,1285676,78629,9587,73,20,0
永生才能不灭,千年浩劫,武侠仙侠,,完结,Zongheng,2706332,229943,2527,2643,150,0
一世剑仙,棠鸿羽,玄幻奇幻,,完结,Zongheng,2914827,769447,50391,68,80,0
问天花,白昼黑夜,武侠仙侠,,完结,Zongheng,987723,10422,2419,69,42,0
灯影山河,长安肆少,都市,,完结,Zongheng,725650,452479,66233,199,20,0
踏破太古,易水川,玄幻奇幻,,完结,Zongheng,2614930,246138,11613,290,66,0
空山剑雨,莫白1,玄幻奇幻,,完结,Zongheng,1239564,362985,4738,105,46,0
这个世界太危险,虎皮鹦鹉,玄幻奇幻,,完结,Zongheng,1065770,21014,3043,139,9,0
大厨小婿,烟斗老哥,都市,,完结,Zongheng,3961788,9796513,83910,13233,1632,0
大元素使,传说级咸鱼,玄幻奇幻,,完结,Zongheng,3362576,295895,7709,100,19,0
天地战记,晴天鱼米,玄幻奇幻,,完结,Zongheng,2005676,417202,5771,133,180,0
无量你个大天尊,白芲,武侠仙侠,,完结,Zongheng,1131251,4081913,4841,325,35,0
逆世妖尊,古月千里,玄幻奇幻,,完结,Zongheng,592304,4259642,123100,72,16,0
凶灵秘闻录,北极猎手,奇闻异事,,完结,Zongheng,9852661,3155723,71914,122,495,11
安启群侠录,一手闲人,武侠仙侠,,完结,Zongheng,642580,27616,3319,1107,44,0
超品赘婿,了无忧,都市,,完结,Zongheng,2000315,660935,6370,128,38,0
风吹春又生,文念,历史,,完结,Zongheng,284642,127134,4787,193,275,0
诗剑飘香,西江清月,武侠仙侠,,完结,Zongheng,1035359,32664,4667,2187,133,0
