title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score
熊学派的阿斯塔特,你干嘛呀你,5958900.0,925,208600,连载,游戏,Qidian,1.5496992745732046
绝对命运游戏,宝月流光,2630200.0,575,236000,连载,游戏,Qidian,2.177865313233846
异维囚笼,躺摆混,801300.0,1316,40199,连载,游戏,Qidian,16.22088006902502
你这辈子就是让游戏给害了！,起点灵感大王,1142400.0,1211,13400,连载,游戏,Qidian,10.50850399166956
LOL：重生S3，调教全联盟,青石离,1948000.0,451,99700,连载,游戏,Qidian,2.303370786516854
冰封末世：我打造完美领地,一条小白蛇,6295900.0,653,131500,连载,游戏,Qidian,1.0355381468148877
全职高手,蝴蝶蓝,5347800.0,1218,6836000,完本,游戏,Qidian,2.2733211392735826
坏了，被李相赫做局了！,想天开,875000.0,302,27599,连载,游戏,Qidian,3.4124293785310735
信我，我真是联盟职业选手,洛兰殇,1065300.0,619,14200,连载,游戏,Qidian,5.756533060541244
无尽海洋：从独木舟开始逃生,特种兵76号,980900.0,464,21600,连载,游戏,Qidian,4.682611767080432
惊悚乐园,三天两觉,4893400.0,941,4161400,完本,游戏,Qidian,1.9190765591222418
星辰大道,随散飘风,2437000.0,0,236000,连载中,玄幻奇幻,Zongheng,0.0
逆天邪神,火星引力,7851000.0,0,3850000,连载中,玄幻奇幻,Zongheng,0.0
圣殊,知白,458000.0,0,31000,连载中,历史,Zongheng,0.0
齐天,日落红尘,1243000.0,0,7918,连载中,玄幻奇幻,Zongheng,0.0
步步高升：从省考状元到权力巅峰,烟斗老哥,2169000.0,0,55000,连载中,都市,Zongheng,0.0
无敌天命,青鸾峰上,3412000.0,0,390000,连载中,玄幻奇幻,Zongheng,0.0
仙子，求你别再从书里出来了,佛系和尚,293000.0,0,981,连载中,都市,Zongheng,0.0
众仙俯首,咸鱼老白,2031000.0,0,87000,连载中,武侠仙侠,Zongheng,0.0
太荒吞天诀,铁马飞桥,14736000.0,0,202000,连载中,玄幻奇幻,Zongheng,0.0
最强狂兵Ⅱ：黑暗荣耀,烈焰滔滔,2888000.0,0,370000,连载中,都市,Zongheng,0.0
万仙来朝,萧瑾瑜,1867000.0,0,153000,连载中,玄幻奇幻,Zongheng,0.0
剑来,烽火戏诸侯,13059000.0,0,18725000,连载中,武侠仙侠,Zongheng,0.0
天黑请点灯,罗樵森,2247000.0,0,44000,连载中,奇闻异事,Zongheng,0.0
绝色生骄,沙漠,1970000.0,0,111000,连载中,历史,Zongheng,0.0
从军赋,风尘落雨,2339000.0,0,33000,连载中,历史,Zongheng,0.0
问鼎：从一等功臣到权力巅峰,晨星天使,7773000.0,0,29000,连载中,都市,Zongheng,0.0
封疆悍卒,宿言辰,2047000.0,0,6706,连载中,历史,Zongheng,0.0
逆流年代：从1970开始种田养家,慎思量,3699000.0,0,10000,连载中,都市,Zongheng,0.0
剑斩仙门,蜗牛狂奔,564000.0,0,3566,连载中,玄幻奇幻,Zongheng,0.0
天命：从大业十二年开始,赵子曰,2996000.0,0,102000,连载中,历史,Zongheng,0.0
剑动仙朝,一叶青天,937000.0,0,9965,连载中,玄幻奇幻,Zongheng,0.0
人间有剑,平生未知寒,1754000.0,0,62000,连载中,玄幻奇幻,Zongheng,0.0
湘阳路警事,明珠蒋蒋,301000.0,0,3274,连载中,现实题材,Zongheng,0.0
巅峰青云路,登封造极,4231000.0,0,6947,连载中,都市,Zongheng,0.0
躺平：老婆修炼我变强,万红壮,4178000.0,0,18000,连载中,玄幻奇幻,Zongheng,0.0
星辰之主,减肥专家,7863000.0,0,3517000,连载中,科幻,Zongheng,0.0
有帝族背景还开挂，我无敌了！,不太勇敢,2930000.0,0,1957,连载中,玄幻奇幻,Zongheng,0.0
大明：寒门辅臣,寒梅惊雪,6692000.0,0,53000,连载中,历史,Zongheng,0.0
问鼎青云：从退役功臣到权力之巅,沧海横流,2551000.0,0,6953,连载中,都市,Zongheng,0.0
诡异游戏：开局觉醒Bug级天赋,予作,1646000.0,0,16000,连载中,都市,Zongheng,0.0
大魏芳华,西风紧,2914000.0,0,610000,连载中,历史,Zongheng,0.0
吞噬九重天,屠刀成佛,8557000.0,0,8698,连载中,玄幻奇幻,Zongheng,0.0
灰烬领主,我爱小豆,11924000.0,0,334000,连载中,玄幻奇幻,Zongheng,0.0
鸿蒙霸体诀,鱼初见,7743000.0,0,10000,连载中,玄幻奇幻,Zongheng,0.0
割鹿记,无罪,3728000.0,0,232000,连载中,历史,Zongheng,0.0
大雪满龙刀,乱世狂刀,1538000.0,0,320000,连载中,玄幻奇幻,Zongheng,0.0
边军悍卒,木有金箍,2487000.0,0,7275,连载中,历史,Zongheng,0.0
边关兵王：从领娶罪女开始崛起,青岳,1298000.0,0,1617,连载中,历史,Zongheng,0.0
凰宫梦,蓝九九,3230000.0,573,12000,连载中,古代言情,Zongheng,1.7685185185185186
屠狗之辈,关中老人,2363000.0,0,281000,连载中,都市,Zongheng,0.0
逍遥四公子,修果,4476000.0,0,11000,连载中,历史,Zongheng,0.0
武道长生，从大离第一纨绔开始,借我三两风,1162000.0,0,3725,连载中,玄幻奇幻,Zongheng,0.0
星际猎人,太极阴阳鱼,1476000.0,0,29000,连载中,科幻,Zongheng,0.0
权力巅峰,任风萧,4906000.0,0,13000,连载中,都市,Zongheng,0.0
皇叔借点功德，王妃把符画猛了,安卿心,3739000.0,312,16000,连载中,古代言情,Zongheng,0.8322219258468926
解春衫,随山月,599000.0,234,889,连载中,古代言情,Zongheng,3.8423645320197046
道侣背叛后，我征服女帝证大道,抹茶春卷,2227000.0,0,3347,连载中,玄幻奇幻,Zongheng,0.0
